problem_id,n_samples,n_passed,pass_rate
humaneval/HumanEval/0,8,8,1.0000
humaneval/HumanEval/1,8,8,1.0000
humaneval/HumanEval/10,8,0,0.0000
humaneval/HumanEval/100,8,1,0.1250
humaneval/HumanEval/101,8,0,0.0000
humaneval/HumanEval/102,8,2,0.2500
humaneval/HumanEval/103,8,0,0.0000
humaneval/HumanEval/104,8,2,0.2500
humaneval/HumanEval/105,8,7,0.8750
humaneval/HumanEval/106,8,3,0.3750
humaneval/HumanEval/107,8,6,0.7500
humaneval/HumanEval/108,8,0,0.0000
humaneval/HumanEval/109,8,2,0.2500
humaneval/HumanEval/11,8,7,0.8750
humaneval/HumanEval/110,8,1,0.1250
humaneval/HumanEval/111,8,5,0.6250
humaneval/HumanEval/112,8,7,0.8750
humaneval/HumanEval/113,8,0,0.0000
humaneval/HumanEval/114,8,7,0.8750
humaneval/HumanEval/115,8,0,0.0000
humaneval/HumanEval/116,8,7,0.8750
humaneval/HumanEval/117,8,6,0.7500
humaneval/HumanEval/118,8,0,0.0000
humaneval/HumanEval/119,8,2,0.2500
humaneval/HumanEval/12,8,8,1.0000
humaneval/HumanEval/120,8,0,0.0000
humaneval/HumanEval/121,8,3,0.3750
humaneval/HumanEval/122,8,2,0.2500
humaneval/HumanEval/123,8,4,0.5000
humaneval/HumanEval/124,8,3,0.3750
humaneval/HumanEval/125,8,3,0.3750
humaneval/HumanEval/126,8,0,0.0000
humaneval/HumanEval/127,8,1,0.1250
humaneval/HumanEval/128,8,5,0.6250
humaneval/HumanEval/129,8,0,0.0000
humaneval/HumanEval/13,8,8,1.0000
humaneval/HumanEval/130,8,0,0.0000
humaneval/HumanEval/131,8,7,0.8750
humaneval/HumanEval/132,8,0,0.0000
humaneval/HumanEval/133,8,4,0.5000
humaneval/HumanEval/134,8,0,0.0000
humaneval/HumanEval/135,8,0,0.0000
humaneval/HumanEval/136,8,7,0.8750
humaneval/HumanEval/137,8,1,0.1250
humaneval/HumanEval/138,8,5,0.6250
humaneval/HumanEval/139,8,2,0.2500
humaneval/HumanEval/14,8,8,1.0000
humaneval/HumanEval/140,8,1,0.1250
humaneval/HumanEval/141,8,1,0.1250
humaneval/HumanEval/142,8,1,0.1250
humaneval/HumanEval/143,8,7,0.8750
humaneval/HumanEval/144,8,6,0.7500
humaneval/HumanEval/145,8,0,0.0000
humaneval/HumanEval/146,8,4,0.5000
humaneval/HumanEval/147,8,5,0.6250
humaneval/HumanEval/148,8,4,0.5000
humaneval/HumanEval/149,8,6,0.7500
humaneval/HumanEval/15,8,8,1.0000
humaneval/HumanEval/150,8,6,0.7500
humaneval/HumanEval/151,8,6,0.7500
humaneval/HumanEval/152,8,8,1.0000
humaneval/HumanEval/153,8,8,1.0000
humaneval/HumanEval/154,8,6,0.7500
humaneval/HumanEval/155,8,4,0.5000
humaneval/HumanEval/156,8,8,1.0000
humaneval/HumanEval/157,8,3,0.3750
humaneval/HumanEval/158,8,6,0.7500
humaneval/HumanEval/159,8,7,0.8750
humaneval/HumanEval/16,8,7,0.8750
humaneval/HumanEval/160,8,0,0.0000
humaneval/HumanEval/161,8,7,0.8750
humaneval/HumanEval/162,8,8,1.0000
humaneval/HumanEval/163,8,0,0.0000
humaneval/HumanEval/17,8,7,0.8750
humaneval/HumanEval/18,8,7,0.8750
humaneval/HumanEval/19,8,3,0.3750
humaneval/HumanEval/2,8,8,1.0000
humaneval/HumanEval/20,8,8,1.0000
humaneval/HumanEval/21,8,8,1.0000
humaneval/HumanEval/22,8,8,1.0000
humaneval/HumanEval/23,8,8,1.0000
humaneval/HumanEval/24,8,5,0.6250
humaneval/HumanEval/25,8,8,1.0000
humaneval/HumanEval/26,8,0,0.0000
humaneval/HumanEval/27,8,8,1.0000
humaneval/HumanEval/28,8,8,1.0000
humaneval/HumanEval/29,8,8,1.0000
humaneval/HumanEval/3,8,7,0.8750
humaneval/HumanEval/30,8,8,1.0000
humaneval/HumanEval/31,8,8,1.0000
humaneval/HumanEval/32,8,0,0.0000
humaneval/HumanEval/33,8,2,0.2500
humaneval/HumanEval/34,8,8,1.0000
humaneval/HumanEval/35,8,8,1.0000
humaneval/HumanEval/36,8,8,1.0000
humaneval/HumanEval/37,8,7,0.8750
humaneval/HumanEval/38,8,0,0.0000
humaneval/HumanEval/39,8,1,0.1250
humaneval/HumanEval/4,8,8,1.0000
humaneval/HumanEval/40,8,8,1.0000
humaneval/HumanEval/41,8,8,1.0000
humaneval/HumanEval/42,8,8,1.0000
humaneval/HumanEval/43,8,8,1.0000
humaneval/HumanEval/44,8,8,1.0000
humaneval/HumanEval/45,8,8,1.0000
humaneval/HumanEval/46,8,3,0.3750
humaneval/HumanEval/47,8,8,1.0000
humaneval/HumanEval/48,8,8,1.0000
humaneval/HumanEval/49,8,5,0.6250
humaneval/HumanEval/5,8,4,0.5000
humaneval/HumanEval/50,8,3,0.3750
humaneval/HumanEval/51,8,7,0.8750
humaneval/HumanEval/52,8,8,1.0000
humaneval/HumanEval/53,8,8,1.0000
humaneval/HumanEval/54,8,5,0.6250
humaneval/HumanEval/55,8,7,0.8750
humaneval/HumanEval/56,8,8,1.0000
humaneval/HumanEval/57,8,6,0.7500
humaneval/HumanEval/58,8,8,1.0000
humaneval/HumanEval/59,8,2,0.2500
humaneval/HumanEval/6,8,3,0.3750
humaneval/HumanEval/60,8,8,1.0000
humaneval/HumanEval/61,8,8,1.0000
humaneval/HumanEval/62,8,8,1.0000
humaneval/HumanEval/63,8,8,1.0000
humaneval/HumanEval/64,8,2,0.2500
humaneval/HumanEval/65,8,1,0.1250
humaneval/HumanEval/66,8,8,1.0000
humaneval/HumanEval/67,8,1,0.1250
humaneval/HumanEval/68,8,7,0.8750
humaneval/HumanEval/69,8,6,0.7500
humaneval/HumanEval/7,8,8,1.0000
humaneval/HumanEval/70,8,2,0.2500
humaneval/HumanEval/71,8,8,1.0000
humaneval/HumanEval/72,8,8,1.0000
humaneval/HumanEval/73,8,7,0.8750
humaneval/HumanEval/74,8,1,0.1250
humaneval/HumanEval/75,8,3,0.3750
humaneval/HumanEval/76,8,2,0.2500
humaneval/HumanEval/77,8,2,0.2500
humaneval/HumanEval/78,8,3,0.3750
humaneval/HumanEval/79,8,6,0.7500
humaneval/HumanEval/8,8,6,0.7500
humaneval/HumanEval/80,8,7,0.8750
humaneval/HumanEval/81,8,0,0.0000
humaneval/HumanEval/82,8,8,1.0000
humaneval/HumanEval/83,8,0,0.0000
humaneval/HumanEval/84,8,7,0.8750
humaneval/HumanEval/85,8,8,1.0000
humaneval/HumanEval/86,8,7,0.8750
humaneval/HumanEval/87,8,0,0.0000
humaneval/HumanEval/88,8,1,0.1250
humaneval/HumanEval/89,8,5,0.6250
humaneval/HumanEval/9,8,7,0.8750
humaneval/HumanEval/90,8,0,0.0000
humaneval/HumanEval/91,8,1,0.1250
humaneval/HumanEval/92,8,6,0.7500
humaneval/HumanEval/93,8,0,0.0000
humaneval/HumanEval/94,8,6,0.7500
humaneval/HumanEval/95,8,3,0.3750
humaneval/HumanEval/96,8,5,0.6250
humaneval/HumanEval/97,8,8,1.0000
humaneval/HumanEval/98,8,6,0.7500
humaneval/HumanEval/99,8,0,0.0000
